Ano;Mes;Area;Producao;Rendimento_medio
2024;1;627 696;295 054;470
2024;2;627 781;297 044;473
2024;3;627 913;297 376;474
2024;4;630 060;294 214;467
2024;5;629 711;293 040;465
2024;6;628 228;294 453;469
2024;7;629 123;293 236;466
2024;8;629 293;293 831;467
2024;9;629 299;292 917;465
2024;10;629 281;279 959;445
2024;11;632 147;284 136;449
2024;12;;;
2023;1;600 116;286 813;478
2023;2;600 116;286 813;478
2023;3;600 053;286 791;478
2023;4;600 053;286 791;478
2023;5;600 053;286 791;478
2023;6;601 649;290 375;483
2023;7;601 649;290 375;483
2023;8;580 828;282 888;487
2023;9;581 791;283 666;488
2023;10;581 735;283 149;487
2023;11;621 753;289 255;465
2023;12;623 086;290 630;466
2022;1;597 351;280 217;469
2022;2;597 359;286 722;480
2022;3;598 838;288 660;482
2022;4;599 366;289 202;483
2022;5;599 371;288 734;482
2022;6;599 399;288 757;482
2022;7;599 304;288 705;482
2022;8;599 263;288 889;482
2022;9;598 876;288 501;482
2022;10;599 956;290 181;484
2022;11;599 961;290 119;484
2022;12;599 918;290 118;484
2021;1;603 013;269 902;448
2021;2;603 052;270 441;448
2021;3;603 057;273 064;453
2021;4;603 057;273 064;453
2021;5;598 047;269 084;450
2021;6;598 047;269 084;450
2021;7;597 405;278 805;467
2021;8;597 454;284 117;476
2021;9;597 530;291 310;488
2021;10;595 999;294 310;494
2021;11;597 228;297 537;498
2021;12;597 228;310 537;520
2020;1;576 284;237 759;413
2020;2;575 613;238 879;415
2020;3;601 616;281 240;467
2020;4;601 430;282 233;469
2020;5;601 430;282 223;469
2020;6;601 440;282 230;469
2020;7;601 450;278 238;463
2020;8;601 452;278 239;463
2020;9;601 489;278 279;463
2020;10;601 489;278 262;463
2020;11;604 062;280 672;465
2020;12;604 062;280 661;465
